,framework,sample,id,link,number,title,state,locked,created_at,closed_at
41,android,googlesamples/android-Camera2Basic,337198121,https://github.com/googlearchive/android-Camera2Basic/issues/114,114,How to Zoomable ,closed,True,2018-06-30 08:32:50,2019-09-19 22:52:34
11,android,googlesamples/android-ads,156147745,https://github.com/googlearchive/android-ads/issues/3,3,Always Getting Responsecode 0,closed,True,2016-05-22 11:31:31,2016-05-22 11:39:04
133,android,googlesamples/google-services,154941598,https://github.com/googlesamples/google-services/issues/220,220,Missing global_tracker.xml,closed,False,2016-05-16 00:35:46,2016-05-16 15:28:28
0,android,googlesamples/android-WearOAuth,404592430,https://github.com/googlearchive/android-WearOAuth/issues/3,3,Request password on phone,closed,True,2019-01-30 04:03:32,2019-01-30 21:58:47
39,android,googlesamples/android-instant-apps,230147674,https://github.com/googlearchive/android-instant-apps/issues/6,6,Project is not importing.,closed,True,2017-05-20 11:25:08,2017-05-23 11:14:48
61,android,googlesamples/android-play-places,68778112,https://github.com/googlearchive/android-play-places/issues/9,9,Place Detection API is returning INTERNAL_ERROR,closed,True,2015-04-15 20:21:56,2015-06-25 01:23:07
28,android,googlesamples/android-play-billing,724811176,https://github.com/android/play-billing-samples/issues/383,383,Removing Google sign in,closed,False,2020-10-19 17:15:51,2020-10-22 18:35:00
204,android,googlesamples/android-play-billing,308852080,https://github.com/android/play-billing-samples/issues/127,127,onPurchasesUpdated bug very serious ,closed,False,2018-03-27 07:30:39,2019-08-20 18:32:07
32,android,googlesamples/android-vision,263417160,https://github.com/googlesamples/android-vision/issues/272,272,Wrong Value for the barcode ,closed,False,2017-10-06 11:36:04,2017-10-10 18:08:26
267,android,googlesamples/google-services,96850647,https://github.com/googlesamples/google-services/issues/32,32,Issue with device registration.,closed,False,2015-07-23 16:19:03,2015-07-25 01:47:01
94,android,googlesamples/android-Camera2Basic,159606349,https://github.com/googlearchive/android-Camera2Basic/issues/47,47,Taking snapshots while screen is off,closed,True,2016-06-10 10:32:20,2019-09-19 22:57:31
4,android,googlesamples/identity-toolkit-android,125503547,https://github.com/googlearchive/identity-toolkit-android/issues/19,19,Error login Facebook integration,closed,True,2016-01-07 22:54:07,2019-10-04 18:07:50
0,android,googlesamples/android-play-places,394851978,https://github.com/googlearchive/android-play-places/issues/75,75,resolve places autocomplete fragment suggestions not found callback ,closed,True,2018-12-30 07:07:57,2019-10-04 22:23:54
53,android,googlesamples/android-play-places,94420172,https://github.com/googlearchive/android-play-places/issues/17,17,License,closed,True,2015-07-11 00:49:53,2015-07-11 15:02:00
